#z [km]		rho [g cm-3]    p [erg cm-3]    T [K]           ratio[p_t/p_k+p_t] n_i[cm3]	n_e [cm3]
Z		rho		p		T		ratio		n_i		n_e
 2298.0		7.494e-15	1.470e-01	141000.0	0.9752  	3.205e09	3.839e09	
 2290.0		1.179e-14	1.472e-01	89100.0		0.9614  	5.041e09	5.961e09	
 2280.0		2.113e-14	1.477e-01	50000.0		0.9318  	9.038e10	9.993e10	
 2274.0		2.808e-14	1.481e-01	37000.0		0.9102  	1.201e10	1.318e10	
 2271.0		3.222e-14	1.483e-01	32000.0		0.8976  	1.378e10	1.498e10	
 2267.0		3.665e-14	1.487e-01	28000.0		0.8840  	1.567e10	1.677e10	
 2263.0		4.017e-14	1.491e-01	25500.0		0.8738  	1.718e10	1.812e10	
 2255.0		4.203e-14	1.500e-01	24500.0		0.8698  	1.797e10	1.881e10	
 2230.0		4.355e-14	1.530e-01	24200.0		0.8718  	1.862e10	1.943e10	
 2200.0		4.517e-14	1.566e-01	24000.0		0.8645  	1.932e10	2.009e10	
 2160.0		4.795e-14	1.617e-01	23500.0		0.8778  	2.051e10	2.120e10	
 2129.0		5.058e-14	1.659e-01	23000.0		0.8801  	2.163e10	2.219e10	
 2120.0		5.216e-14	1.672e-01	22500.0		0.8789  	2.231e10	2.276e10	
 2115.0		5.619e-14	1.679e-01	21000.0		0.8710  	2.403e10	2.402e10	
 2113.0		6.390e-14	1.682e-01	18500.0		0.8539  	2.732e10	2.620e10	
 2109.0		9.569e-14	1.691e-01	12300.0		0.7839  	4.092e10	3.306e10	
 2107.0		1.093e-13	1.697e-01	10700.0		0.7552  	4.673e10	3.535e10	
 2104.0		1.225e-13	1.706e-01	9500.0		0.7277  	5.239e10	3.705e10	
 2090.0		1.433e-13	1.758e-01	8440.0		0.6986  	6.127e10	3.799e10	
 2080.0		1.530e-13	1.798e-01	8180.0		0.6891  	6.541e10	3.780e10	
 2070.0		1.628e-13	1.842e-01 	7940.0		0.6808  	6.960e10	3.783e10	
 2050.0		1.802e-13	1.936e-01 	7660.0		0.6701  	7.705e10	3.792e10	
 2016.0		2.122e-13	2.118e-01 	7360.0		0.6616  	9.075e10	3.811e10	
 1990.0		2.417e-13	2.280e-01 	7160.0		0.6600  	1.033e11	3.858e10	
 1925.0		3.227e-13	2.780e-01 	6940.0		0.6620  	1.380e11	4.028e10	
 1785.0		6.082e-13	4.511e-01 	6630.0		0.6772  	2.601e11	4.771e10	
 1605.0		1.493e-12	9.334e-01 	6440.0		0.7262  	6.386e11	6.005e10	
 1515.0		2.450e-12	1.409 		6370.0		0.7595  	1.048e12	6.456e10	
 1380.0		5.315e-12	2.774 		6280.0		0.8051  	2.273e12	7.600e10	
 1280.0		9.822e-12	4.768	 	6220.0		0.8423  	4.200e12	7.486e10	
 1180.0		1.839e-11	8.527 		6150.0		0.8694  	7.865e12	8.108e10	
 1065.0		4.000e-11	17.26 		6040.0		0.9136  	1.771e13	9.349e10	
 980.0		7.359e-11	30.08	 	5925.0		0.9440  	3.147e13	1.041e11	
 905.0		1.297e-10	50.43 		5755.0		0.9628  	5.546e13	1.049e11	
 855.0		1.902e-10	72.10 		5650.0		0.9691  	8.135e13	1.064e11	
 755.0		4.358e-10	152.8 		5280.0		0.9784  	1.864e14	8.838e10	
 705.0		6.846e-10	228.3 		5030.0		0.9821  	2.935e14	7.664e10	
 655.0		1.121e-09	349.5		4730.0		0.9852  	4.794e14	8.085e10	
 605.0		1.899e-09	551.6 		4420.0		0.9881  	8.119e14	1.112e11	
 555.0		3.232e-09	895.8 		4230.0		0.9912  	1.382e15	1.733e11	
 515.0		4.902e-09	1336.0 		4170.0		0.9934  	2.096e15	4.516e11	
 450.0		9.327e-09	2569.0 		4220.0		0.9949  	3.989e15	1.110e12	
 350.0		2.334e-08	6798.0 		4465.0		0.9954  	9.979e15	2.674e12	
 250.0		5.413e-08	16910.0		4780.0		0.9936  	2.315e16	6.476e12	
 150.0		1.150e-07	39260.0 	5180.0		0.9854  	4.917e16	2.122e13	
 100.0		1.606e-07	58040.0		5455.0		0.9801  	6.866e16	1.066e13	
 50.0		2.152e-07	82740.0		5840.0		0.9748  	9.203e16	2.122e13	
 0   		2.727e-07	117200.0	6420.0		0.9702  	1.166e17	6.433e13	 	
-25.0		2.949e-07	136800.0	6910.0		0.9688		1.261e17	1.547e14
-50.0		3.080e-07	157500.0	7610.0		0.9697		1.317e17	4.645e14
-75.0		3.192e-07	179000.0	8320.0		0.9711		1.365e17	1.204e15
