Z		T	p	ratio2
#    5.80e6    2.36e6  2.19e-4 0.9   
#    3.87e6    2.36e6  2.95e-4 0.9  
#    2.58e6    2.36e6  4.22e-4 0.9  
#    1.72e6    2.36e6  6.75e-4 0.9  
#    1.14e6    2.36e6  1.18e-3 0.9  
#    7.63e5    2.35e6  2.18e-3 0.9  
#    5.08e5    2.34e6  4.09e-3 0.9  
#    3.39e5    2.28e6  7.45e-3 0.9  
#    2.26e5    2.17e6  1.28e-2 0.9  
#    1.51e5    2.02e6  2.04e-2 0.9  
    1.00e5    1.84e6  3.02e-2 0.9  
    6.68e4    1.64e6  4.17e-2 0.9  
    4.45e4    1.45e6  5.40e-2 0.9  
    2.97e4    1.27e6  6.64e-2 0.9  
    1.98e4    1.10e6  7.82e-2 0.9  
    1.32e4    9.37e5  8.91e-2 0.9  
    8.79e3    7.89e5  9.88e-2  1.0e-2  
    5.86e3    6.47e5  1.07e-1  2.0e-2  
    3.90e3    5.06e5  1.15e-1  3.0e-2 
#additional interpolated point FAG
    3.40e3    4.44e5  1.18e-1  3.3e-2  
#additional interpolated point FAG
    3.20e3    4.19e5  1.19e-1  3.5e-2
#additional interpolated point FAG
    3.00e3    3.95e5  1.21e-1  3.7e-2
    2.60e3    3.45e5  1.23e-1  3.9e-2 
#additional interpolated point FAG
    2.40e3    3.05e5  1.24e-1  9.0e-1
#    2.13e3    2.30e5  1.27e-1 0.9  
#    1.97e3    1.53e5  1.29e-1 0.9  
#    1.91e3    1.02e5  1.30e-1 0.9  
#    1.89e3    6.80e4  1.31e-1 0.9  
#    1.88e3    4.53e4  1.32e-1 0.9  
#    1.88e3    3.02e4  1.32e-1 0.9  
#    1.88e3    2.01e4  1.32e-1 0.9  
#    1.88e3    1.34e4  1.32e-1 0.9  
#    1.85e3    8.94e3  1.48e-1 0.9
